Santo Aroma Ltda,Rua João Pinheiro615,Centro,38010,040,Uberaba,MG
Padaria Padre Toledo,Rua Direita231,Centro Histórico,36325,000,Tiradentes,MG
Empório Casa da Annah Ltda,Alameda Michelangelo2427,Alphaville,06539390,Santana de Parnaíba,SP
Empório Liasch,Rua Cabo Oswaldo de Morais52,VILA RASMUSSEN,13466030,Americana,SP
Empório Canastra Premium,Rua Doutor Franco da Rocha477,Perdizes,05015040,São Paulo,SP
Casa Rinaldi,Avenida Santos Dumont140,Jardim Primavera,75860,000,Quirinópolis,GO
Olfato Café Ltda,Avenida Mato Grosso1787,Vila Rosa,79020200,Campo Grande,MS
Seleção do Erick,Avenida Engenheiro Francisco José Longo149,Jardim São Dimas,12245001,São José dos Campos,SP
Produtos de Minas Uai Ltda,Rua Azevedo Portugal421,Centro,85010200,Guarapuava,PR
Rudão,Avenida Borges de Medeiros3271,Centro,95670000,Gramado,RS
Buona Tavola,Rua Treze de Maio822,São Bento,95700058,Bento Gonçalves,RS
Empório Toscano,LAURO MULLER316,Centro,88600,000,São Joaquim,SC
MANA DE MINAS , QUEIJOS, DOCES E AFINS,Rua Lamartine Babo185,Jardim Pinhal,07120,110,Guarulhos,SP
Empório Azienda,Rua Cuiabá2805,Neva,85802233,Cascavel,PR
Café & Tudo,Rua Rodolfo Chermont318,Marambaia,66615170,Belém,PA
CACHACARIA CASA ANTIGA PARATY,Av Roberto da Silveira526,Centro,23970000,Paraty,RJ
Bitaca Lobato Eireli,Rua Rio de Janeiro882,Centro,35500009,Divinópolis,MG
CAFE HOUSE CAFETERIA ESPECIAL LTDA,RUA RAIMUNDO DA CONCEICAO TABIREZA113,Centro,42850000,Dias D'Ávila,BA
A Mercearia,Rua Marcos Mocellin50,Santa Felicidade,82020,510,Curitiba,PR
GRAO DO DIA DIGITAL LTDA,Alameda Fernão Cardim166,Jardim Paulista,01403020,São Paulo,SP
Empório Santo Queijo Cuiabá,Avenida Miguel Sutil9300,Santa Rosa,78040365,Cuiabá,MT
Grão Maria,Avenida Dezessete de Agosto1161,Casa Forte,52061540,Recife,PE
EMPÓRIO SOUMAIS BRASIL LTDA,Avenida Ator José Wilker600,Jacarepaguá,22775024,Rio de Janeiro,RJ
O MIO DO QUEIJO EIRELI,Rua Florindo Cibin3860,Parque das Nações,13470070,Americana,SP
VINDEMINAS GASTRONOMIA E DECORACAO LTDA ME,Rodovia Amaral Peixoto1174,Várzea das Moças,24330286,Niterói,RJ
Coisas da Terra,Avenida Benjamin Constant1204,Centro,69301020,Boa Vista,RR
EMPÓRIO EMANUEL COMÉRCIO DE QUEIJOS E IGUARIAS LTDA,SHA Conjunto 5 Chácara 89,24,Setor Habitacional Arniqueira (Águas Claras),71995315,Brasília,DF
TERRA VEGGIE CAFE LTDA,Avenida de São Francisco101,Jardim Santa Rosália,18095450,Sorocaba,SP
AART FRUTAS,ESTRADA PARA ITABELA  286,Trancoso,45818000,Porto Seguro,BA
Empório do Centro,Rua Virgílio Busnello393,Centro,06850,700,Itapecerica da Serra,SP
CARAVELLIS CAFE & CO. LTDA,Avenida Gisele Constantino1850,Parque Bela Vista,18110650,Votorantim,SP
Pedacim de Trem,Rua Lauro Linhares635,Trindade,88036001,Florianópolis,SC
Cafeteria Ducadu,10A AVENIDA RUBEM MELLO369,Centro,12850000,Bananal,SP
Uday Yoga,Rua São Sebastião131,Alto da Boa Vista,28979347,Araruama,RJ
Empório Santo Queijo Querência,Av Mato Grosso313,Centro,78643000,Querência,MT
CASA CONCEICAO ROTISSERIE E EMPORIO LTDA,Rua Santa Justina121,Vila Olímpia,04545040,São Paulo,SP
Affinis Cafeteria,Avenida Belarmino Cotta Pacheco1166,Santa Mônica,38408168,Uberlândia,MG
Armazém Carioca,Rua São João Batista26,Botafogo,22270030,Rio de Janeiro,RJ
EMPORIO MINEIRO EIRELI,Rua Rafael Nascimento300,Setor Central,75901290,Rio Verde,GO
NAYARA NAOMI NOGUEIRA 37012596821,Rua Elpídio Gomes447,Centro,14160080,Sertãozinho,SP
COMERCIO E CONF NORDESTINA,RUA PADRE MARINO541,SAO JOSE,37520000,Pedralva,MG
SANTA CREMA CAFE EIRELI,Rua João Wagner Wey831,Jardim América,18046695,Sorocaba,SP
CASA DE CARNES,Rua dos Odes766,Jardim Nova Vida,06702395,Cotia,SP
Intelligenza,Rua Rio Grande do Norte1141,Funcionários,30130138,Belo Horizonte,MG
Crismar,Rua Vale das Flores654,Jardim Santa Lucrécia,05185400,São Paulo,SP
PALOMA ROSARIO DA SILVA 12272351603,Rua Alírio Adail frança200,Centro,38150000,Veríssimo,MG
Empório Grandes Lagos,Rua Doutor Theotônio Monteiro Barros Filho931,Parque Residencial Comendador Mançor Daud,15070570,São José do Rio Preto,SP
Xarc Boutique,Rua Benedito Pinto767,Lucas Araújo,99072290,Passo Fundo,RS
Coffee Shock Café,Rua Alegrete193,Sumaré,01254010,São Paulo,SP
ALECRIM BLEND HOUSE LTDA,ARNOLDO FERY 45,Centro,89580000,Fraiburgo,SC
Grão Caneca Produtos Saudáveis,Rua Rio de Janeiro1321,Água Verde,80610060,Curitiba,PR
Empório das Águas,RUA SAO PAULO382,Centro,13940000,Águas de Lindóia,SP
COFFES SEED,Avenida Humberto Mendonça612,Centro,76190,000,Palmeiras de Goiás,GO
Rei da Montanha,Rua Deputado Antônio Edu Vieira1838,Pantanal,88040245,Florianópolis,SC
Marcio Camargo Finotti 28865717840,Rua Luís Ramos Figueira356,Vila Suzana,05630120,São Paulo,SP
Empório Holdorf,Servidão Francisca Marques Silva595,Ingleses do Rio Vermelho,88058485,Florianópolis,SC
RMD BUSINESS SOLUTIONS LTDA,Rua Rio Canoas139,Guatupê,83065296,São José dos Pinhais,PR
ANALUZ ARMAZEM MINEIRO,Avenida Guarapari92,Santa Amélia,31560300,Belo Horizonte,MG
Empório Fazenda Madalena,Avenida Antônio Carlos Magalhães4591,Brotas,40280901,Salvador,BA
Café Delivery,Rua da Matriz26,Botafogo,22260100,Rio de Janeiro,RJ
1727 Coffee Roasters,Rua José Martins603,Barão Geraldo,13084153,Campinas,SP
Empório Zermiani,Rua Iguaçu209,Itoupava Seca,89030030,Blumenau,SC
Caffe Latte,Rua Doutor Miguel Couto323,Centro,01008010,São Paulo,SP
RAFAEL PAGLIARINI PALMA & CIA LTDA,General Firmino305,Centro,98300000,Palmeira das Missões,RS
DONA ANI DELICATESSEN,Rua Bento Munhoz da Rocha Neto2304,Jardim La Salle,85902000,Toledo,PR
SAN PIO MERCADO SAUDAVEL LTDA,Avenida Paulo de Brito44,Centro,35570190,Formiga,MG
EMPORIO CAMPEIRU RV LTDA,Rua 03 , Quadra 28 , Lote 14SN,Vila Menezes,75909655,Rio Verde,GO
BOEMIA CAFE E BISTRO LTDA,Rua Alves de Oliveira273,Cristo Rei,78118081,Várzea Grande,MT
Empório Medeiros,Rua João Bocarro29,Penha de França,03610040,São Paulo,SP
DOM DEPOLE DISTRIBUIDORA DE ALIMENTOS LTDA,Rua João Mutinelli1118,Jardim Primavera,13660100,Porto Ferreira,SP
CAFETERIA CAFEZAL , CAFE & CULTURA,1 AV JOAO DA SILVA COSTA652,VILA CARNEIRO,37464000,Itanhandu,MG
EMPORIO OURO PRETO LTDA,Rua Vieira de Morais865,Campo Belo,04617012,São Paulo,SP
Armazém & Sabor,AV BORGES DE MEDEIROS1262,Centro,95320000,Nova Prata,RS
Empório Serrano,Rua Gervásio Pires265,Santo Amaro,50060090,Recife,PE
Seu Empório do Queijo,Rua Marechal Deodoro724,Centro,96810062,Santa Cruz do Sul,RS
EMPORIO SANTA FE,Rua Capitão Felipe158,Itaguá,11688602,Ubatuba,SP
KASI & CANELLA,Avenida Gustavo Fetter1116,Centro,89899000,Iporã do Oeste,SC
T & T RODRIGUES EMPORIOS EIRELI,Rua José Nogueira Marmontel385,Centro,19814361,Assis,SP
SAO JOSE RP COMERCIO D FRIOS E LATICINIOS LTDA,Avenida Miguel Damha1901,Jardim Vista Alegre,15061699,São José do Rio Preto,SP
APETITE VEGANO ALIMENTOS VEGETAIS LTDA,Rua Pernambuco546,Centro,15801320,Catanduva,SP
Armazém Di Vino,AVENIDA MINISTRO NELSON HUNGRIA533,Centro,12450000,Santo Antônio do Pinhal,SP
Cantini Empório Natural,Rua das Pitangueiras54,Viamópolis,94470484,Viamão,RS
BCOFFEE CAFETERIA LTDA,Rua dos Aimorés2017,Lourdes,30140074,Belo Horizonte,MG
EMPÓRIO LEV,RUA DANIEL PETRY126,Centro,88180000,Antônio Carlos,SC
Empório Lu D'Minas,Rua General Osório142,Vila Carmem,19407018,Presidente Venceslau,SP
MEDEIROS PRESENTES,Avenida Francisco Nobre280,Medeiros,13212241,Jundiaí,SP
GRANOLLA COMERCIO DE PRODUTOS SAUDAVEIS EIRELI,Rua Prefeito Domingos Machado de Lima84,Centro,89700025,Concórdia,SC
QUEEN CHEESE EMPORIUM LTDA,Avenida Engenheiro Ivanil Francischini3668,Jardim Centenário,14940460,Ibitinga,SP
EMPORIO CHANTILLY,Estrada do Rio Morto197,Vargem Grande,22783210,Rio de Janeiro,RJ
MESTRE QUEIJEIRO COMERCIO DE ALIMENTOS EIRELI,Rua Simão Álvares112,Pinheiros,05417020,São Paulo,SP
Emprium Low Fit,Rua São Francisco241,Centro,98780112,Santa Rosa,RS
EMPORIO JOAO,Rua do Petróleo596,Jardim Pérola,13454190,Santa Bárbara D'Oeste,SP
PUAH COMERCIO DE ALIMENTOS LTDA,Avenida Professor Mário Werneck2020,Buritis,30575180,Belo Horizonte,MG
Dekanter,Rua Edno Fregonesi45,Jardim Nova Aliança Sul,14027045,Ribeirão Preto,SP
Magg Café,Avenida Ipiranga200,República,01046010,São Paulo,SP
Grano Bistrô,RUA PRINCESA ISABEL75,Centro,88730000,São Ludgero,SC
E MARIA VALIM CAIRES , JEITIM DI MINAS,AV YOLANDA LOUREIRO DE CARVALHO864,Centro,85440000,Ubiratã,PR
ESPAÇO NUVEM,Rua Teresa Guimarães185,Botafogo,22280050,Rio de Janeiro,RJ
LU BARISTA,Rua Pedro Menegotto Sobrinho340,Licorsul,95705764,Bento Gonçalves,RS
PASSELI E REIS FILHO PANIFICACAO LTDA,Rua Marcos de Oliveira317,Ouro Preto,31340100,Belo Horizonte,MG
MAJOR BRIGADEIRO CAFETERIA SANTOS LTDA,Rua Doutor Assis Corrêa55,Gonzaga,11055310,Santos,SP
Retrogosto Café,Avenida Dorival Marcondes Godoy175,Fazenda Castelo,27535320,Resende,RJ
PEDRA NEGRA CAFETERIA LTDA , ME,Rua Adelmo Aires Negri1478,Setor Central,77405080,Gurupi,TO
MAVI EMPORIO,Rua Miguel Bertolino Pizatto936,Iguaçu,83701050,Araucária,PR
QUINTA DO BOM GRADO ALIMENTOS LTDA,Avenida Maria Soares de Paiva417,Parque Sagrada Família,78735268,Rondonópolis,MT
TIA ADA CAFETERIA LTDA,Largo Marquês de Monte Alegre1,Valongo,11010260,Santos,SP
Labote Cafeteria,Rua Casemiro de Abreu112,Jardim Maringá,12243600,São José dos Campos,SP
EMPORIO GRAO GRANEL COMERCIO DE PRODUTOS LTDA , ME,Rua Voluntários da Pátria1735,Santana,02011300,São Paulo,SP
ARMAZEM SECOS & MOLHADOS,RUA SAO PAULO430,BELA VISTA,89295000,Rio Negrinho,SC
LETICIA MARQUES VERTA 38076117895,Rua Casemiro de Abreu366,Itaguá,11688630,Ubatuba,SP
LUCCAFE ESPECIAL,Avenida Brasil1831,Funcionários,30140002,Belo Horizonte,MG
Oba Hortifruti,SMR,385 Estr. Municipal Américo Ribeiro dos Santos, norteSMR,385,Jardim São Judas Tadeu (Nova Veneza),13183091,Hortolândia,SP
Empório do Café,Avenida Pedro Henrique Krambeck1419,São Pedro,36036445,Juiz de Fora,MG
PAOZIM DI QUEIJO,Rua Padre Roque417,Centro,13800033,Mogi Mirim,SP
ERIKA DE OLIVEIRA MELLO 33106335866,Avenida Manoel Pedro Pimentel315,Continental,06020194,Osasco,SP
EMPORIO MODENA,Rua Padre Luiz Parenzi733,Centro,29190058,Aracruz,ES
YSP SOUTH AMERICA,Rua Cardeal Arcoverde928,Pinheiros,05408001,São Paulo,SP
EMPORIO BOMDOCE,Rua Padre João252,Centro,08710180,Mogi das Cruzes,SP
WANT COFFEE?,Rua Galeno de Castro246,Jurubatuba,04696040,São Paulo,SP
Skypiea Gourmet,Rua Sabiá,Laranjeira1005,Jardim Helena,08081160,São Paulo,SP
ENOS VINHOS DE BOUTIQUE LTDA,Avenida Centenário5700,Próspera,88815000,Criciúma,SC
CONFEITARIA DE PARIS LTDA,Rua João Dal Bianco5,Vila Boa Esperança,13270380,Valinhos,SP
EMPORIO PENSE LEVE PRODUTOS ALIMENTICIOS LTDA,Av. PORTO FELIZ124,Centro,89893000,Mondaí,SC
EMPORIO KAFFA,Rua Antônio Barbosa de Menezes305,Mirante,58407673,Campina Grande,PB
ACAITERIA UAI DELICIAS,R JANUARIA89,Centro,39470000,Itacarambi,MG
Saint Vinsaint,Rua Professor Atílio Innocenti811,Vila Nova Conceição,04538002,São Paulo,SP
Vida Leve,Avenida Comendador Vicente Filizola5280,Vila Redentora,15015450,São José do Rio Preto,SP
SACOLAO DA ROÇA,Rua Joaquim Soares82,Floramar,31840230,Belo Horizonte,MG
CAFE & COMPANY COMERCIO E SERVICOS DE LOCACAO DE MAQUINAS E,Avenida Engenheiro Alberto Sá220,Papicu,60175395,Fortaleza,CE
EMPORIO COMENDADOR LTDA,Rua Comendador José Garcia185,Centro,37550007,Pouso Alegre,MG
EMPORIO VILLA RICA,Rua Antônio Francisco dos Anjos500,Centro,96020700,Pelotas,RS
GRANADA'S,Rua Prefeito Hugolino Andrade716,Centro,97573577,Sant'Ana do Livramento,RS
Empório Cassis,Rua Dom Pedro I2025,Cidade Alta,13419200,Piracicaba,SP
COFFEE BODY COMERCIO DE ALIMENTOS LTDA,Rua Irmãos Vieira967,Campinas,88101290,São José,SC
FADALEAL SUPERMERCADOS LTDA,Rua XV de Novembro2357,Alto da Rua XV,80045270,Curitiba,PR
VALLENTINA COMÉRCIO DE MÓVEIS LTDA,AVENIDA DEPUTADO ALBINO ZENI615,Centro,88400000,Ituporanga,SC
MANDACARU ARTE RUSTICA,Avenida Joaquim Manoel de Macedo630,Parque Residencial Marengo,08594500,Itaquaquecetuba,SP
EMPORIO AGORA ECO,Rua Plínio Marques223,Vila Mogilar,08773540,Mogi das Cruzes,SP
MARILENE ROCHA DOS SANTOS 49358847387,Rua Buenos Aires2,Centro,65937000,Lajeado Novo,MA
LA DO CAFE,Avenida Camilo Castelo Branco107,Vila Gumercindo,04130020,São Paulo,SP
GNP CAFE E RESTAURANTE LTDA,SAUS Quadra 444,Asa Sul,70070040,Brasília,DF
EMPORIO ESSENCIAL LTDA,Avenida Brasil6963,Centro,85801001,Cascavel,PR
EMPORIO SANT ANGELA,Rua Piracuama141,Perdizes,05017040,São Paulo,SP
CAFETERIA BY ME,Rua dos Aimorés2001,Lourdes,30140074,Belo Horizonte,MG
CAFE STORE COMERCIO E VAREJO LTDA.,Rua Barão de Tatuí387,Vila Buarque,01226030,São Paulo,SP
23.139.274 ANDRIELE NEY CANUTO FERNANDES DE OLIVEIRA,Rua São João794,Três Vendas,96065490,Pelotas,RS
SUPER MERCADO ZONA SUL S/A,Avenida Brasil9200,Penha,21012350,Rio de Janeiro,RJ
AMERICANAS S.A , EM RECUPERACAO JUDICIAL,Rua Marquês de Abrantes192,Flamengo,22230060,Rio de Janeiro,RJ
PRINCESA AUTO SERVICO DE COMESTIVEIS LTDA,Rua do Alpiste913,Penha Circular,21011010,Rio de Janeiro,RJ
CIA BEAL DE ALIMENTOS,Avenida Juscelino Kubitschek de Oliveira4900,Cidade Industrial,81260000,Curitiba,PR
EMPORIO E CAFE AMARO,Rua Maria da Conceição Costa285,Recanto dos Barreiros,37552452,Pouso Alegre,MG
Supermercado Campeão,Avenida das Américas500,Barra da Tijuca,22640100,Rio de Janeiro,RJ
CASA SANTA LUZIA IMPORTADORA LTDA.,Alameda Lorena1471,Jardim Paulista,01424005,São Paulo,SP
Casa Bene,Rua Borges173,Indaiá,31270150,Belo Horizonte,MG
ARREDA PRA CA EMPORIO,Rua Fernandes Tourinho296,Savassi,30112000,Belo Horizonte,MG
LITERATOUR CLUBE LITERARIO,Rua Saibreiro 2227,Vila Saibreiro,13504011,Rio Claro,SP
L' Atelier du Pain,Avenida Marechal Henrique Lott163,Barra da Tijuca,22631370,Rio de Janeiro,RJ
Nação Verde,Rua Ramal dos Menezes232,Vila Romero,02469000,São Paulo,SP
Super Nosso,Via Manoel Jacinto Coelho Júnior901,Fazenda da Tapera,32150245,Contagem,MG
AQUI DI MINAS PRODUTOS ARTESANAIS LTDA,Rua Conselheiro Quintiliano65,Centro,35400027,Ouro Preto,MG
AFAGO CAFE E COZINHA,Rua 16858,Centro,14790000,Guaíra,SP
VIDA LEVE,AV SETE DE SETEMBRO1085,Centro,36950000,Ipanema,MG
BEACH MARKET CAVALEIROS,Rua Lindolfo Collor112,Cavaleiros,27920220,Macaé,RJ
MACMILLAN & ASSOCIADOS,Rua Mandaguari668,Zona 07,87020230,Maringá,PR
BANCA12 ARM DE PROD NATURAIS LTDA,Rua Ernesto Alves67,Floresta,90220190,Porto Alegre,RS
DON AVELINO,Rua da Aldeia76,Parque Residencial Laranjeiras,29165150,Serra,ES
EMPORIO 22 WINE & BAR LTDA,Avenida Doutor Sezefredo Azambuja Vieira1680,Marechal Rondon,92020020,Canoas,RS
Dom De Sucre,Av. das hortênsias1377,N/A,95670138,Gramado,RS
EMPORIO CENTRAL,RUA DO CAMPO4A,Centro,72980000,Pirenópolis,GO
O CEREALISTA MERCADO NATURAL LTDA,Rua Marquês de Olinda2060,América,89204415,Joinville,SC
CHEIRIN BAO,Rua do Imperador970,Centro,25620001,Petrópolis,RJ
Vida Leve,RUA DR LUIZ AUGUSTO PUPERI792,Centro,99200000,Guaporé,RS
Vida Leve,Avenida José Bonifácio162,Jardim Flamboyant,13091140,Campinas,SP
Cheirin Bao,Avenida Armando Lombardi1000,Barra da Tijuca,22640000,Rio de Janeiro,RJ
CAVE ARMAZÉM DE CURADORIA E EXPERIÊNCIAS,Rua Bernardo Guimarães1020,Boa Viagem,30140084,Belo Horizonte,MG
EMPORIO DOM CASMURRO,Avenida Professor Othon Gama Deça900,Centro,88015903,Florianópolis,SC
Aqui Tem Jau,Avenida José Maria de Almeida Prado373,Jardim Pedro Ometto,17212586,Jaú,SP
Delícias do Empório,Avenida Ministro Rui Barbosa1798,Vila Rezende,14406530,Franca,SP
VOVO SUSSU BISTRO,Rua do Imperador970,Centro,25620001,Petrópolis,RJ
Pamonharia Empório do Milho,Avenida Acácia Cuiabana15,Centro América,78053835,Cuiabá,MT
EMPORIO MONTES DAS OLIVEIRAS,Avenida Santa Terezinha412,Jordanópolis,07411155,Arujá,SP
Empório Veneto,RUA DOMINGOS PASQUETTI991,Zanella,98360000,Rodeio Bonito,RS
Lar Café,Rua Raul Veiga497,Centro,28907090,Cabo Frio,RJ
54.476.723 GRACE ROCHA DA SILVA,Avenida Votuporanga584,Vila Nova Sorocaba,18070670,Sorocaba,SP
JMS temperos,Rua Rondônia90,Lorenzi,97070600,Santa Maria,RS
Da Silva Atacarejo,RUA FREDERICO A SULZBACH227,DAS INDUSTRIAS,95880000,Estrela,RS
Tupigua,Avenida Augusto de Lima744,Centro,30190922,Belo Horizonte,MG
Imbur Comercio de Produtos Naturais LTDA,Rua Felipe Schmidt554,Centro,88010000,Florianópolis,SC
TREM DI MINAS CAFETERIA E EMPORIO,Avenida Iguape844,Jardim Satélite,12230720,São José dos Campos,SP
PAULA CARVALHO DE SOUZA 10292302690,AV DAMIAO JUNQUEIRA DE SOUZA270,NOSSA SENHORA DE FATIMA,37470000,São Lourenço,MG
VIDA LEVE PARNAÍBA,Avenida São Sebastião4480,Frei Higino,64207005,Parnaíba,PI
16.939.872 Sonia Gregio,Rua Sete de Setembro757,Centro,95717000,Pinto Bandeira,RS
Lady’s Coffee,Avenida Iguape844,Jardim Satélite,12230720,São José dos Campos,SP
Coa Cafeteria LTDA,Rua Guaicuí108,Coração de Jesus,30380380,Belo Horizonte,MG
Natum Iche Produtos Naturais,Avenida Tancredo Neves450,Caminho das Árvores,41820020,Salvador,BA
DE LICIA CAFE EMPORIO LTDA,Avenida dos Bandeirantes809,Anchieta,30310403,Belo Horizonte,MG
Coado Box,Rua Doutor Jonas Novaes536,Planalto Paraíso,13562020,São Carlos,SP
CAFECITO CAFETERIA LTDA,Rua Manoel Barreto702,Graça,40150360,Salvador,BA
EMPORIO E CAFE CASA DE VO LTDA,Avenida Silva Lobo1188,Nova Granada,30431262,Belo Horizonte,MG
Giglio Hospeda Campos do Jordao,Rua B125,Alto da Boa Vista,12472718,Campos do Jordão,SP
COMPRA FACIL SUPERMERCADOS LTDA,Rua dos Alpes120,Cambuci,01520030,São Paulo,SP
BLEND CACAU BH,Rua Adriano Chaves e Matos486,Olhos D'Água,30390552,Belo Horizonte,MG
Ciriaco,Rua Safira272,Aclimação,01532010,São Paulo,SP
Copo Café,Rua Antônio de Albuquerque626,Savassi,30112011,Belo Horizonte,MG
LESPRESSO CAFES ESPECIAIS,Rua Duque de Caxias , DE 818/819 AO FIM1724,Centro,13630095,Pirassununga,SP
O Café,Praça Nilo Peçanha19,Alto,25961030,Teresópolis,RJ
COMERCIAL SAO GERALDO MEDINA,RUA SAO JOAO DEL REI261,CENTRO,39620000,Medina,MG
VIDA LEVE GUAÍBA,Rua São José867,Centro,92704380,Guaíba,RS
CAFE LE JARDIN,Avenida Praia de Itapoan805,Vilas do Atlântico,42707650,Lauro de Freitas,BA
INFINITY DISTRIBUIDORA,Avenida Imbiara835,Centro,38183244,Araxá,MG
Empório Lastarria,10A AVENIDA ESTRADA GERAL DA FERRUGEM2748,Capão,88495000,Garopaba,SC
Empório Sapiranga,Rua Gaspar Martins165,Vôo Livre,93822046,Sapiranga,RS
ROTA SETE BARBEARIA CLUB LTDA,Avenida dos Bandeirantes1299,Anchieta,30310403,Belo Horizonte,MG
GRUPO TOKIO,Rua Capitão Manoel do Nascimento523,Distrito Industrial I,14711120,Bebedouro,SP
Divino Grão,Avenida Rômulo Maiorana1383,Marco,66093673,Belém,PA
UAI WHY CAFETERIA LTDA.,Rua Irmão José Otão576,Independência,90035060,Porto Alegre,RS
M. F. DE MENEZES SAUCEDA,RUA GEN CANABARRO469,Centro,97560000,Quaraí,RS
EMPORIO EM CANTOS DE MINAS OURO PRETO,Rua Senador Rocha Lagoa159,Centro,35400072,Ouro Preto,MG
55.450.112 DANIELA DA SILVA ANDRADE,Avenida Iguape844,Jardim Satélite,12230720,São José dos Campos,SP
Engenho Lanches,BR 101km 266,Rodovia,88490000,Paulo Lopes,SC
GG CAFETERIA CATAMARA LTDA,Avenida Quintino BocaiúvaSN,São Francisco,24370001,Niterói,RJ
ESPACO NUVEM CESTAS SP LTDA,Rua Miguel Andrade Roque13,Vila Mariana,04126100,São Paulo,SP
Super Muffato,Avenida Tiradentes2667,Rodocentro,86071000,Londrina,PR
Mercato Canastra LTDA,Rua Antônio Rezende Chaves283,Santa Mônica,38408236,Uberlândia,MG
BOTANIC BEAUTY COMERCIO DE COSMETICOS LTDA,Rua Mário Whately109,Alto da Lapa,05083140,São Paulo,SP
